;Face_hash;Face_path;Image_hash;Image_path;date_taken;geotag;cluster_birch;cluster_optics;cluster_agglo;cluster_spec_clust;cluster_mean_shift;cluster_aff;cluster_kmeans;cluster_DBSCAN
0;0a694b86c061f39b4e76ced08c02eb9ea3240504ba5fa54ce705519f0749e9f9;/mnt/kokdata/Study/face_recognition/stock/tmp/0_GettyImages-810323008_edited.jpg;0a694b86c061f39b4e76ced08c02eb9ea3240504ba5fa54ce705519f0749e9f9;/mnt/kokdata/Study/face_recognition/stock/GettyImages-810323008_edited.jpg;;;3;-1;1;8;0;14;7;-1
1;0a694b86c061f39b4e76ced08c02eb9ea3240504ba5fa54ce705519f0749e9f9;/mnt/kokdata/Study/face_recognition/stock/tmp/1_GettyImages-810323008_edited.jpg;0a694b86c061f39b4e76ced08c02eb9ea3240504ba5fa54ce705519f0749e9f9;/mnt/kokdata/Study/face_recognition/stock/GettyImages-810323008_edited.jpg;;;1;10;2;2;0;0;4;-1
2;0a694b86c061f39b4e76ced08c02eb9ea3240504ba5fa54ce705519f0749e9f9;/mnt/kokdata/Study/face_recognition/stock/tmp/2_GettyImages-810323008_edited.jpg;0a694b86c061f39b4e76ced08c02eb9ea3240504ba5fa54ce705519f0749e9f9;/mnt/kokdata/Study/face_recognition/stock/GettyImages-810323008_edited.jpg;;;0;-1;3;0;0;40;1;-1
3;0a694b86c061f39b4e76ced08c02eb9ea3240504ba5fa54ce705519f0749e9f9;/mnt/kokdata/Study/face_recognition/stock/tmp/3_GettyImages-810323008_edited.jpg;0a694b86c061f39b4e76ced08c02eb9ea3240504ba5fa54ce705519f0749e9f9;/mnt/kokdata/Study/face_recognition/stock/GettyImages-810323008_edited.jpg;;;0;2;0;5;0;33;3;-1
4;0a694b86c061f39b4e76ced08c02eb9ea3240504ba5fa54ce705519f0749e9f9;/mnt/kokdata/Study/face_recognition/stock/tmp/4_GettyImages-810323008_edited.jpg;0a694b86c061f39b4e76ced08c02eb9ea3240504ba5fa54ce705519f0749e9f9;/mnt/kokdata/Study/face_recognition/stock/GettyImages-810323008_edited.jpg;;;3;-1;1;8;0;13;7;-1
5;0a694b86c061f39b4e76ced08c02eb9ea3240504ba5fa54ce705519f0749e9f9;/mnt/kokdata/Study/face_recognition/stock/tmp/5_GettyImages-810323008_edited.jpg;0a694b86c061f39b4e76ced08c02eb9ea3240504ba5fa54ce705519f0749e9f9;/mnt/kokdata/Study/face_recognition/stock/GettyImages-810323008_edited.jpg;;;7;-1;5;1;0;1;2;-1
6;0a694b86c061f39b4e76ced08c02eb9ea3240504ba5fa54ce705519f0749e9f9;/mnt/kokdata/Study/face_recognition/stock/tmp/6_GettyImages-810323008_edited.jpg;0a694b86c061f39b4e76ced08c02eb9ea3240504ba5fa54ce705519f0749e9f9;/mnt/kokdata/Study/face_recognition/stock/GettyImages-810323008_edited.jpg;;;7;14;5;1;0;28;2;-1
7;0a694b86c061f39b4e76ced08c02eb9ea3240504ba5fa54ce705519f0749e9f9;/mnt/kokdata/Study/face_recognition/stock/tmp/7_GettyImages-810323008_edited.jpg;0a694b86c061f39b4e76ced08c02eb9ea3240504ba5fa54ce705519f0749e9f9;/mnt/kokdata/Study/face_recognition/stock/GettyImages-810323008_edited.jpg;;;3;0;0;8;0;50;3;-1
8;0a694b86c061f39b4e76ced08c02eb9ea3240504ba5fa54ce705519f0749e9f9;/mnt/kokdata/Study/face_recognition/stock/tmp/8_GettyImages-810323008_edited.jpg;0a694b86c061f39b4e76ced08c02eb9ea3240504ba5fa54ce705519f0749e9f9;/mnt/kokdata/Study/face_recognition/stock/GettyImages-810323008_edited.jpg;;;7;-1;5;1;0;12;2;-1
9;0a694b86c061f39b4e76ced08c02eb9ea3240504ba5fa54ce705519f0749e9f9;/mnt/kokdata/Study/face_recognition/stock/tmp/9_GettyImages-810323008_edited.jpg;0a694b86c061f39b4e76ced08c02eb9ea3240504ba5fa54ce705519f0749e9f9;/mnt/kokdata/Study/face_recognition/stock/GettyImages-810323008_edited.jpg;;;1;-1;2;2;0;38;4;-1
10;0a694b86c061f39b4e76ced08c02eb9ea3240504ba5fa54ce705519f0749e9f9;/mnt/kokdata/Study/face_recognition/stock/tmp/10_GettyImages-810323008_edited.jpg;0a694b86c061f39b4e76ced08c02eb9ea3240504ba5fa54ce705519f0749e9f9;/mnt/kokdata/Study/face_recognition/stock/GettyImages-810323008_edited.jpg;;;7;-1;5;1;0;31;2;-1
